id,TEMPERATURE_C,HUMIDITY_percentage,ALTITUDE_m,PRESSURE_hPa,PM10,PM25,PM100,P03um_perdecilitre,P05um_perdecilitre,P10um_perdecilitre,P25um_perdecilitre,P50um_perdecilitre,P100um_perdecilitre,CO2_ppm,TVOC_ppb,AIR_QUALITY_ppm,GAS_RESISTANCE_KOhms,TIME
1,24.16,77.12,250.17,98356.00,4.00,4.00,4.00,804.00,248.00,13.00,0.00,0.00,0.00,400.00,0.00,1500.00,6391.00,"2022-04-28 05:45:38"
2,23.93,77.38,250.17,98356.00,4.00,6.00,9.00,786.00,234.00,47.00,7.00,5.00,0.00,417.00,2.00,1520.00,7847.00,"2022-04-28 05:46:05"
3,23.90,77.07,250.17,98356.00,6.00,6.00,8.00,921.00,287.00,18.00,2.00,2.00,2.00,411.00,1.00,1520.00,9536.00,"2022-04-28 05:46:32"
4,23.94,76.78,250.00,98358.00,3.00,4.00,5.00,669.00,203.00,7.00,2.00,2.00,0.00,403.00,0.00,1519.00,11158.00,"2022-04-28 05:46:59"
5,24.01,76.48,249.92,98359.00,6.00,6.00,6.00,846.00,270.00,23.00,0.00,0.00,0.00,413.00,1.00,1523.00,12391.00,"2022-04-28 05:47:27"
6,24.06,76.34,249.92,98359.00,3.00,4.00,4.00,816.00,238.00,12.00,0.00,0.00,0.00,405.00,0.00,1520.00,13591.00,"2022-04-28 05:47:54"
7,24.10,76.18,249.92,98359.00,1.00,2.00,2.00,516.00,158.00,9.00,0.00,0.00,0.00,408.00,1.00,1520.00,14512.00,"2022-04-28 05:48:21"
8,24.14,76.09,249.92,98359.00,3.00,4.00,4.00,762.00,236.00,14.00,0.00,0.00,0.00,408.00,1.00,1515.00,15427.00,"2022-04-28 05:48:48"
9,24.18,75.80,249.92,98359.00,3.00,3.00,4.00,771.00,232.00,16.00,2.00,0.00,0.00,408.00,1.00,1523.00,16210.00,"2022-04-28 05:49:15"
10,24.20,75.72,249.92,98359.00,2.00,3.00,4.00,636.00,198.00,29.00,2.00,2.00,0.00,400.00,0.00,1521.00,16922.00,"2022-04-28 05:49:42"
11,24.23,75.50,250.09,98357.00,3.00,3.00,3.00,717.00,208.00,0.00,0.00,0.00,0.00,413.00,1.00,1521.00,17507.00,"2022-04-28 05:50:09"
12,24.25,75.45,250.09,98357.00,3.00,3.00,3.00,660.00,202.00,11.00,0.00,0.00,0.00,413.00,1.00,1520.00,18054.00,"2022-04-28 05:50:37"
13,24.26,75.42,250.17,98356.00,2.00,3.00,3.00,690.00,211.00,14.00,0.00,0.00,0.00,417.00,2.00,1520.00,18245.00,"2022-04-28 05:51:06"
14,24.27,75.41,250.26,98355.00,2.00,2.00,2.00,606.00,180.00,4.00,0.00,0.00,0.00,414.00,2.00,1521.00,18909.00,"2022-04-28 05:51:33"
15,24.32,75.24,250.35,98354.00,3.00,3.00,3.00,648.00,205.00,2.00,0.00,0.00,0.00,414.00,2.00,1527.00,19295.00,"2022-04-28 05:52:01"
16,24.37,75.13,250.43,98353.00,2.00,2.00,4.00,633.00,202.00,8.00,4.00,0.00,0.00,413.00,1.00,1532.00,19660.00,"2022-04-28 05:52:28"
17,24.40,75.03,250.52,98352.00,2.00,3.00,3.00,684.00,217.00,16.00,0.00,0.00,0.00,417.00,2.00,1530.00,19981.00,"2022-04-28 05:52:55"
18,24.43,74.91,250.52,98352.00,3.00,4.00,4.00,720.00,232.00,19.00,0.00,0.00,0.00,413.00,1.00,1531.00,20333.00,"2022-04-28 05:53:22"
19,24.44,74.77,250.52,98352.00,3.00,4.00,5.00,663.00,211.00,14.00,2.00,2.00,0.00,403.00,0.00,1535.00,20534.00,"2022-04-28 05:53:49"
20,24.44,74.70,250.60,98351.00,3.00,3.00,3.00,705.00,223.00,0.00,0.00,0.00,0.00,405.00,0.00,1533.00,21012.00,"2022-04-28 05:54:16"
21,24.44,74.70,250.52,98352.00,4.00,4.00,5.00,804.00,252.00,25.00,2.00,0.00,0.00,417.00,2.00,1523.00,21248.00,"2022-04-28 05:54:44"
22,24.47,74.69,250.52,98352.00,2.00,2.00,7.00,612.00,190.00,19.00,7.00,5.00,2.00,400.00,0.00,1526.00,21490.00,"2022-04-28 05:55:11"
23,24.50,74.68,250.43,98353.00,3.00,3.00,4.00,687.00,220.00,9.00,2.00,2.00,0.00,410.00,1.00,1521.00,21446.00,"2022-04-28 05:55:38"
24,24.51,74.80,250.26,98355.00,3.00,3.00,3.00,690.00,204.00,4.00,0.00,0.00,0.00,410.00,1.00,1515.00,21737.00,"2022-04-28 05:56:05"
25,24.52,74.84,250.09,98357.00,3.00,3.00,5.00,702.00,221.00,18.00,2.00,2.00,2.00,408.00,1.00,1523.00,21851.00,"2022-04-28 05:56:32"
26,24.52,74.74,250.09,98357.00,2.00,2.00,2.00,540.00,165.00,6.00,0.00,0.00,0.00,414.00,2.00,1518.00,22107.00,"2022-04-28 05:56:59"
27,24.53,74.79,249.92,98359.00,3.00,3.00,4.00,663.00,204.00,14.00,4.00,0.00,0.00,400.00,0.00,1518.00,22178.00,"2022-04-28 05:57:27"
28,24.54,74.81,249.75,98361.00,2.00,2.00,3.00,633.00,187.00,9.00,2.00,2.00,0.00,405.00,0.00,1516.00,22345.00,"2022-04-28 05:57:54"
29,24.56,74.77,249.58,98363.00,3.00,3.00,3.00,597.00,177.00,15.00,0.00,0.00,0.00,403.00,0.00,1516.00,22466.00,"2022-04-28 05:58:21"
30,24.58,74.69,249.58,98363.00,2.00,3.00,4.00,630.00,198.00,14.00,2.00,2.00,0.00,403.00,0.00,1515.00,22662.00,"2022-04-28 05:58:48"
31,24.56,74.67,249.41,98365.00,3.00,4.00,6.00,738.00,225.00,18.00,4.00,4.00,0.00,410.00,1.00,1503.00,22836.00,"2022-04-28 05:59:15"
32,24.56,74.55,249.24,98367.00,2.00,2.00,2.00,693.00,194.00,12.00,0.00,0.00,0.00,414.00,2.00,1505.00,23090.00,"2022-04-28 05:59:43"
33,24.56,74.61,249.24,98367.00,2.00,3.00,3.00,564.00,170.00,17.00,0.00,0.00,0.00,414.00,2.00,1504.00,23167.00,"2022-04-28 06:00:10"
34,24.56,74.51,249.15,98368.00,3.00,3.00,3.00,549.00,168.00,2.00,0.00,0.00,0.00,411.00,1.00,1503.00,23375.00,"2022-04-28 06:00:37"
35,24.57,74.60,249.07,98369.00,2.00,2.00,2.00,456.00,137.00,11.00,0.00,0.00,0.00,409.00,1.00,1510.00,23323.00,"2022-04-28 06:01:04"
36,24.58,74.44,248.98,98370.00,3.00,3.00,3.00,666.00,211.00,7.00,0.00,0.00,0.00,416.00,2.00,1490.00,23481.00,"2022-04-28 06:01:31"
37,24.59,74.51,248.90,98371.00,2.00,2.00,3.00,597.00,174.00,7.00,2.00,0.00,0.00,411.00,1.00,1520.00,23508.00,"2022-04-28 06:01:58"
38,24.61,74.49,248.81,98372.00,2.00,2.00,2.00,600.00,190.00,6.00,0.00,0.00,0.00,411.00,1.00,1522.00,23455.00,"2022-04-28 06:02:25"
39,24.61,74.52,248.64,98374.00,2.00,3.00,3.00,618.00,197.00,11.00,0.00,0.00,0.00,407.00,1.00,1520.00,23641.00,"2022-04-28 06:02:53"
40,24.64,74.41,248.47,98376.00,3.00,3.00,4.00,603.00,191.00,9.00,2.00,0.00,0.00,402.00,0.00,1507.00,23910.00,"2022-04-28 06:03:47"
41,24.64,74.39,248.38,98377.00,2.00,2.00,4.00,519.00,158.00,9.00,2.00,2.00,0.00,411.00,1.00,1509.00,24034.00,"2022-04-28 06:04:14"
42,24.63,74.43,248.38,98377.00,3.00,3.00,3.00,579.00,174.00,10.00,0.00,0.00,0.00,424.00,3.00,1511.00,23800.00,"2022-04-28 06:04:41"
43,24.64,74.30,248.30,98378.00,1.00,1.00,1.00,549.00,166.00,0.00,0.00,0.00,0.00,402.00,0.00,1517.00,23706.00,"2022-04-28 06:05:08"
44,24.65,74.46,248.30,98378.00,4.00,5.00,5.00,870.00,270.00,18.00,0.00,0.00,0.00,434.00,5.00,1573.00,18341.00,"2022-04-28 06:06:20"
45,24.67,74.20,248.21,98379.00,2.00,2.00,2.00,597.00,187.00,7.00,0.00,0.00,0.00,400.00,0.00,1565.00,21806.00,"2022-04-28 06:07:11"
46,24.68,74.17,248.21,98379.00,1.00,2.00,5.00,525.00,160.00,18.00,4.00,4.00,2.00,405.00,0.00,1560.00,22563.00,"2022-04-28 06:07:38"
47,24.69,74.22,248.30,98378.00,1.00,2.00,2.00,570.00,166.00,6.00,0.00,0.00,0.00,400.00,0.00,1552.00,22912.00,"2022-04-28 06:08:05"
48,24.70,74.08,248.47,98376.00,2.00,2.00,2.00,573.00,188.00,11.00,0.00,0.00,0.00,417.00,2.00,1535.00,23349.00,"2022-04-28 06:08:32"
49,24.72,74.15,248.55,98375.00,1.00,1.00,1.00,543.00,160.00,0.00,0.00,0.00,0.00,417.00,2.00,1535.00,23508.00,"2022-04-28 06:09:02"
50,24.72,74.23,248.73,98373.00,5.00,6.00,7.00,879.00,267.00,21.00,2.00,2.00,2.00,413.00,1.00,1535.00,23722.00,"2022-04-28 06:09:27"
51,24.72,74.19,248.90,98371.00,2.00,3.00,4.00,540.00,165.00,21.00,2.00,2.00,0.00,405.00,0.00,1534.00,23719.00,"2022-04-28 06:10:03"
52,24.73,74.06,248.90,98371.00,3.00,4.00,4.00,666.00,203.00,7.00,0.00,0.00,0.00,405.00,0.00,1533.00,23937.00,"2022-04-28 06:10:21"
53,24.74,74.33,248.64,98374.00,2.00,2.00,2.00,546.00,163.00,2.00,0.00,0.00,0.00,400.00,0.00,1551.00,15636.00,"2022-04-28 06:12:51"
54,24.74,74.13,247.36,98389.00,2.00,3.00,3.00,660.00,191.00,20.00,2.00,0.00,0.00,400.00,0.00,1531.00,17536.00,"2022-04-28 06:15:01"
55,24.78,73.90,246.17,98403.00,3.00,3.00,3.00,810.00,250.00,13.00,0.00,0.00,0.00,414.00,2.00,1567.00,19259.00,"2022-04-28 06:17:04"
56,24.80,73.76,245.91,98406.00,2.00,3.00,3.00,645.00,201.00,9.00,0.00,0.00,0.00,409.00,1.00,1561.00,20657.00,"2022-04-28 06:17:31"
57,24.79,73.84,245.91,98406.00,2.00,3.00,3.00,630.00,204.00,14.00,0.00,0.00,0.00,405.00,0.00,1555.00,21227.00,"2022-04-28 06:18:06"
58,24.79,73.74,245.66,98409.00,1.00,2.00,2.00,582.00,167.00,5.00,0.00,0.00,0.00,418.00,2.00,1554.00,22107.00,"2022-04-28 06:18:27"
59,24.81,73.62,245.66,98409.00,1.00,1.00,1.00,528.00,152.00,11.00,0.00,0.00,0.00,418.00,2.00,1577.00,22563.00,"2022-04-28 06:18:54"
60,24.82,73.79,245.57,98410.00,2.00,2.00,3.00,636.00,181.00,11.00,2.00,0.00,0.00,400.00,0.00,1577.00,22811.00,"2022-04-28 06:19:21"
61,24.81,73.76,245.57,98410.00,1.00,1.00,2.00,495.00,150.00,12.00,2.00,0.00,0.00,400.00,0.00,1541.00,23115.00,"2022-04-28 06:19:49"
62,24.81,73.84,245.57,98410.00,2.00,2.00,2.00,609.00,186.00,7.00,0.00,0.00,0.00,400.00,0.00,1579.00,23375.00,"2022-04-28 06:20:17"
63,24.81,73.75,245.57,98410.00,1.00,2.00,5.00,555.00,167.00,11.00,4.00,4.00,2.00,405.00,0.00,1575.00,23534.00,"2022-04-28 06:20:43"
64,24.82,73.66,245.40,98412.00,3.00,3.00,4.00,660.00,202.00,16.00,2.00,2.00,0.00,409.00,1.00,1574.00,23706.00,"2022-04-28 06:21:10"
